통계 년도,통계 코드,컬럼 명,컬럼 영문명,전체 척 수,전체 톤수,전체 마력,동력 척 수,동력 톤수,동력 마력,무동력 척 수,무동력 톤수,최초 생성 시점,최종 변경 시점
2018,4000,양            식            업,Culture,18913,56143.62,3502493,18838,55999.86,3502493,75,143.76,2019-10-23,2019-10-23
2018,3990,  - 연      안        기      타,Coastal Others,33,206.19,13041,32,205.71,13041,1,0.48,2019-10-23,2019-10-23
2018,3140,  - 정    치    망     어     업,Set Nets,665,5844.93,162578,607,5713.2,162578,58,131.73,2019-10-23,2019-10-23
2018,3130,  - 구  획  어  업  (이  동  성),Sectional Fishery(Non-Setting),298,505.16,40238,265,474.5,40238,33,30.66,2019-10-23,2019-10-23
2018,3120,  - 구  획  어  업  (정  치  성),Sectional Fishery(Setting),1883,5701.74,409648,1839,5637.67,409648,44,64.07,2019-10-23,2019-10-23
2018,3110,  - 연   안   복   합    어   업,Coastal Muiti Fishery,16978,45788.48,3564269,16849,45503.34,3564269,129,285.14,2019-10-23,2019-10-23
2018,2180,  - 근   해   연   승    어   업,Off-Shore Long Line,254,7693.2,170918,254,7693.2,170918,0,0,2019-10-23,2019-10-23
2018,3000,연       안        어       업,Coastal Fisheries,38399,117957.73,8698444,38015,117106.88,8698444,384,850.85,2019-10-23,2019-10-23
2018,3010,  - 연  안   유  자  망   어  업,Coastal Gill Net,12880,40133.09,3038273,12782,39865.05,3038273,98,268.04,2019-10-23,2019-10-23
2018,3020,  - 연  안   안  강  망   어  업,Coastal Stow Net,407,3131.24,193103,407,3131.24,193103,0,0,2019-10-23,2019-10-23
2018,3030,  - 연   안   형   망    어   업,Coastal Dredge Nets,1,1.04,0,0,0,0,1,1.04,2019-10-23,2019-10-23
2018,3040,  - 연   안   선   망    어   업,Coastal Purse Seines,268,1856.52,108891,264,1846.95,108891,4,9.57,2019-10-23,2019-10-23
2018,3050,  - 연   안   연   승    어   업,Coastal Long Line,0,0,0,0,0,0,0,0,2019-10-23,2019-10-23
2018,3060,  - 연  안   채  낚  기   어  업,Coastal Angling,0,0,0,0,0,0,0,0,2019-10-23,2019-10-23
2018,3070,  - 연   안   통   발    어   업,Coastal Trap,4884,14300.24,1137753,4868,14240.12,1137753,16,60.12,2019-10-23,2019-10-23
2018,3080,  - 연   안   들   망    어   업,Coastal Lift Nets,92,425.03,26634,92,425.03,26634,0,0,2019-10-23,2019-10-23
2018,3090,  - 연   안   조   망    어   업,Coastal Beam Trawl,9,56.76,3656,9,56.76,3656,0,0,2019-10-23,2019-10-23
2018,3100,  - 연  안   선  인  망   어  업,Coastal Drag Nets,1,7.31,360,1,7.31,360,0,0,2019-10-23,2019-10-23
2017,2040,  - 중형기선 저인망 어업(외끌이),Trawl Medium(One Boat),40,2189.84,16999,40,2189.84,16999,0,0,2018-12-21,2018-12-21
2017,2050,  - 중형기선 저인망 어업(쌍끌이),Trawl Medium(Two Boat),19,1176,7980,19,1176,7980,0,0,2018-12-21,2018-12-21
2017,2060,  - 대   형   트   롤    어   업,Large Otter Trawl,54,7289,79337,54,7289,79337,0,0,2018-12-21,2018-12-21
2017,2070,  - 동  해  구  트  롤   어   업,Eastern Sea Trawl,40,2134,46570,40,2134,46570,0,0,2018-12-21,2018-12-21
2017,2080,  - 대   형   선   망    어   업,Large Powered Purse Seines,145,24310.25,205282,145,24310.25,205282,0,0,2018-12-21,2018-12-21
2017,2090,  - 소   형   선   망    어   업,Small Powered Purse Seines,69,1173.53,41645,69,1173.53,41645,0,0,2018-12-21,2018-12-21
2017,2100,  - 근  해   채  낚  기   어  업,Off-Shore Angling,468,17582.75,293413,468,17582.75,293413,0,0,2018-12-21,2018-12-21
2017,2110,  - 기  선   권  현  망   어  업,Anchovy Drag Net,383,18928.48,205017,383,18928.48,205017,0,0,2018-12-21,2018-12-21
2017,2120,  - 근  해   유  자  망   어  업,Off-Shore Gill Net,356,9731.25,237532,356,9731.25,237532,0,0,2018-12-21,2018-12-21
2017,2130,  - 근  해   안  강  망   어  업,Off-Shore Stow Net,206,10303.19,163631,206,10303.19,163631,0,0,2018-12-21,2018-12-21
2017,2140,  - 근  해   봉  수  망   어  업,Off-Shore Stick-held Dip Net,4,87.09,1793,4,87.09,1793,0,0,2018-12-21,2018-12-21
