vesselId,letterPart_호제외,number_호있는것,number_호없는것,koreanNameCandidates
08962a764-496d-df09-2f33-9b9b022eba7b,DAE YANG,,7,대양
08a125853-3ec3-cfc1-8615-bb6d1fdb2abe,MYUNGJIN,,107,명진
08ab9797f-fca4-7a0c-a6bd-1af4a7bafa60,DO RYEONG,,,도령
08c313c4a-a108-0164-32c7-14dabae421de,TAE IN,,,태인
08d0550b2-2460-5581-b084-d19315e416d6,KING DOM,,,
08e1ecb33-3539-19bb-7701-fe5ce6382160,CHEON SA,,39,천사
091d5ff3b-b3fd-161d-b4a6-cf9465dae12f,SAM SUNG,,,삼성 | 삼승 | 삼숭
0921dd748-8a3c-41ed-af09-6e6b4514c4e1,SIN SEONG,,807,신성
092461879-95ff-8ecf-566a-f272b6b14066,PLUS,,,
092e49d9f-f6f0-53f4-950e-932e73e5a0e0,DAE WOON,,,대운
092f0422a-afff-994d-869d-dd7ab6f5baf4,JIN POONG,,388,진풍
093031d01-1203-73ba-c7a3-fc895c7b335e,JUNG BU,,,정부 | 중부
0932a6a68-88c0-de2a-e09f-35c90e7049ba,DAEYAL,308호,,대열
0953a5024-4af6-00c2-a61d-ff1cd8024a38,DAE YOUNG,,,대영 | 대용
096f5aebb-b532-de8b-ab58-e4ecae24aecc,HEUNG SEONG,202호,,흥성
0970abfd2-2816-1977-f456-3dd7e25fc9db,LEE HYEON,113호,,이현 | 리현
09769c9dc-c2f1-dab3-9ca8-77158d7481a5,UK SOO,,,욱수
0994c43ac-c84e-c9c5-ea45-9be1c5779076,HEUNGSUNG,,,흥성 | 흥승 | 흥숭
0997a2455-5c85-4ec1-6d1d-640be20938a9,HONG EUN,,113,홍은
09a907ea6-6dd1-76c2-4f07-412e33d8829c,YEONG SEONG,,,영성
09cc5f390-0bab-85da-2e25-d5d8e7d25be9,SUNG YOUNG,215호,,성영 | 성용 | 승영
09ce79ec9-9704-3888-c98a-9e6c92062402,SU DUCK,,,수덕
09ef9da6f-f141-2214-f2ca-3e5e5c04f859,HEUNG YOUNG,,,흥영 | 흥용
09fd19d2f-fa0e-19d6-25b1-0b7c45e63379,MORNINGSTAR,,,
0a09ef9b2-2794-a1bb-8b93-026c83607908,HEUNG SEONG,208호,,흥성
0a13ef227-7059-6bf8-bbc9-14e75f7e573f,JINYANG,2호,,진양
0a1ba620b-b16d-c43f-c9c0-31983d30ba0a,EUN JI,,,은지
0a2e23658-83f9-4bea-8c57-ce90048468f7,JE JAE EUN,,616,제재은
0a3d1f729-9b75-f2ef-a087-f836140560cc,HIT,,,
